case,width,depth,N,iteration,loss,relative_l2
smooth,4,1,10,1,0.023177031365395735,2.3148977791596885
smooth,4,1,10,2,0.02200657682767624,2.2224234693536618
smooth,4,1,20,1,0.02298018472895524,2.314897779022178
smooth,4,1,20,2,0.021803992568167247,2.2224340209403532
