case,seed,iteration,loss,alpha,gamma,c,velocity
tf,0,1,90.33939158157057,2.0,0.599759976017866,0.7996000999833519,0.1999000249959836
tf,0,2,89.71408634348926,2.0,0.599519952603902,0.7992004515400898,0.19980010954779462
sf,0,1,188.23793970505855,1.4002400239823023,1.0,0.7996000999833457,0.1999000249960229
sf,0,2,186.86587781685668,1.4004799963620753,1.0,0.7992004554533504,0.19980009373713928
stf,0,1,150.19686737132503,1.4002400239823003,0.5997599760177069,0.7996000999833462,0.19990002499590873
stf,0,2,149.11427489740404,1.400480001138016,0.5995199557842158,0.7992004548175095,0.19980010756977212
