case,seed,loss,error_u,alpha_true,gamma_true,c_true,velocity_true,alpha,gamma,c,velocity
tf,0,89.71408634348926,1.7772438121329102,2.0,0.5,1.0,0.1,2.0,0.599519952603902,0.7992004515400898,0.19980010954779462
sf,0,186.86587781685668,1.6705041752970857,1.5,1.0,1.0,0.1,1.4004799963620753,1.0,0.7992004554533504,0.19980009373713928
stf,0,149.11427489740404,1.6705042432487733,1.5,0.5,1.0,0.1,1.400480001138016,0.5995199557842158,0.7992004548175095,0.19980010756977212
